ID,Area,Mean,Min,Max,X,Y
427,0,25,25,25,976,448.667
428,0,24,24,24,949.333,492.667
429,0,47,47,47,929.333,473.333
430,0,39,39,39,908,491.333
431,0,43,43,43,916.667,495.333
432,0,23,23,23,967.333,395.333
433,0,27,27,27,972,385.333
434,0,27,27,27,978,369.333
435,0,37,37,37,474,490
436,0,42,42,42,460.667,481.333
437,0,36,36,36,450.667,496
438,0,45,45,45,472.667,506
439,0,29,29,29,461.333,507.333
440,0,26,26,26,463.333,497.333
441,0,53,53,53,492.667,506
442,0,58,58,58,520.667,508.667
443,0,41,41,41,516,502
444,0,41,41,41,492.667,490
445,0,31,31,31,488,448.667
446,0,75,75,75,470,436
447,0,30,30,30,475.333,427.333
448,0,28,28,28,490.667,439.333
449,0,42,42,42,490.667,409.333
450,0,60,60,60,532.667,474.667
451,0,59,59,59,542,469.333
452,0,40,40,40,538.667,458
453,0,70,70,70,595.333,490
454,0,45,45,45,594,482
455,0,36,36,36,570.667,492.667
456,0,29,29,29,557.333,493.333
457,0,27,27,27,580.667,472.667
458,0,27,27,27,585.333,464
459,0,39,39,39,595.333,462.667
460,0,37,37,37,582.667,450.667
461,0,25,25,25,568.667,466
462,0,24,24,24,613.333,469.333
463,0,36,36,36,494,472.667
464,0,23,23,23,486,484
465,0,32,32,32,611.333,502.667
466,0,49,49,49,622,502.667
467,0,54,54,54,630.667,511.333
468,0,26,26,26,644.667,486.667
469,0,48,48,48,636.667,474
470,0,24,24,24,671.333,502
471,0,27,27,27,679.333,476.667
472,0,24,24,24,697.333,488
473,0,33,33,33,698,496
474,0,29,29,29,686,504.667
475,0,37,37,37,716,477.333
476,0,45,45,45,713.333,466.667
477,0,29,29,29,730.667,463.333
478,0,63,63,63,717.333,434
479,0,31,31,31,742,463.333
480,0,48,48,48,736.667,478
481,0,46,46,46,760.667,487.333
482,0,37,37,37,738,503.333
483,0,41,41,41,724,498
484,0,50,50,50,754.667,508.667
485,0,38,38,38,781.333,495.333
486,0,54,54,54,788.667,494
487,0,39,39,39,802.667,508.667
488,0,46,46,46,814,507.333
489,0,51,51,51,784,474.667
490,0,26,26,26,776,456.667
491,0,27,27,27,782.667,451.333
492,0,38,38,38,809.333,472
493,0,27,27,27,818,464
494,0,42,42,42,851.333,488.667
495,0,31,31,31,842.667,468.667
496,0,38,38,38,922.667,282.667
497,0,25,25,25,866.667,464.667
498,0,20,20,20,860.667,439.333
499,0,15,15,15,909.333,437.333
500,0,23,23,23,890.667,451.333
501,0,18,18,18,884.667,458
502,0,44,44,44,890.667,491.333
503,0,31,31,31,894.667,500
504,0,30,30,30,872.667,492.667
505,0,44,44,44,883.333,501.333
506,0,47,47,47,892.667,510
507,0,24,24,24,1030.667,341.333
508,0,35,35,35,1048.667,340
509,0,26,26,26,1040.667,356
510,0,58,58,58,1063.333,356.667
511,0,32,32,32,1085.333,364
512,0,37,37,37,1096.667,382
513,0,25,25,25,1093.333,376.667
514,0,28,28,28,1076.667,392
515,0,32,32,32,1061.333,398
516,0,28,28,28,1062,386
517,0,22,22,22,1082,414
518,0,31,31,31,1054,412
519,0,29,29,29,1064,416
520,0,20,20,20,912.667,356.667
521,0,42,42,42,1111.333,276.667
522,0,25,25,25,1104,272.667
523,0,22,22,22,1092.667,270.667
524,0,32,32,32,1114,261.333
525,0,37,37,37,1125.333,272.667
526,0,46,46,46,1116,296
527,0,27,27,27,1106,304
528,0,41,41,41,1105.333,323.333
529,0,47,47,47,1129.333,319.333
530,0,28,28,28,1103.333,335.333
531,0,23,23,23,1120,333.333
532,0,39,39,39,1104,344.667
533,0,23,23,23,1078,343.333
534,0,36,36,36,1101.333,354.667
535,0,29,29,29,1122,345.333
536,0,30,30,30,1112.667,400
537,0,44,44,44,1118.667,411.333
538,0,26,26,26,1126.667,451.333
539,0,26,26,26,1108.667,484
540,0,26,26,26,1118.667,231.333
541,0,22,22,22,1081.333,226
542,0,29,29,29,1056.667,207.333
543,0,30,30,30,958,26.667
544,0,23,23,23,1041.333,76
545,0,24,24,24,847.333,508
546,0,11,11,11,832,504
547,0,50,50,50,528.667,410
548,0,38,38,38,529.333,420.667
