 ,Area,Mean,Min,Max,X,Y
2149,0,34,34,34,1266.000,1003.000
2150,0,31,31,31,1212.000,1001.000
2151,0,20,20,20,1202.000,1000.000
2152,0,22,22,22,1188.000,985.500
2153,0,18,18,18,1233.500,974.000
2154,0,23,23,23,1213.000,1017.500
2155,0,21,21,21,1290.000,893.000
2156,0,24,24,24,1308.500,927.500
2157,0,18,18,18,1352.500,937.000
2158,0,16,16,16,1284.000,962.500
2159,0,19,19,19,1274.500,977.000
2160,0,16,16,16,1216.000,916.500
2161,0,17,17,17,1202.000,927.500
2162,0,19,19,19,1167.500,899.500
2163,0,20,20,20,1272.500,816.500
2164,0,26,26,26,863.333,982.000
2165,0,32,32,32,880.667,1010.667
2166,0,42,42,42,564.667,771.333
2167,0,28,28,28,564.000,754.000
2168,0,33,33,33,563.333,740.000
2169,0,36,36,36,587.333,726.000
2170,0,26,26,26,618.667,762.667
2171,0,26,26,26,608.667,769.333
2172,0,66,66,66,375.333,727.333
2173,0,62,62,62,378.667,742.000
2174,0,36,36,36,366.667,732.667
2175,0,50,50,50,352.667,710.667
2176,0,45,45,45,350.667,727.333
2177,0,56,56,56,341.333,750.000
2178,0,49,49,49,375.333,786.000
2179,0,57,57,57,384.667,795.333
2180,0,62,62,62,273.000,688.000
2181,0,45,45,45,282.000,713.000
2182,0,27,27,27,286.500,699.500
2183,0,37,37,37,316.500,697.500
2184,0,38,38,38,328.000,709.000
2185,0,25,25,25,305.500,707.500
2186,0,37,37,37,317.500,725.000
2187,0,61,61,61,328.500,743.000
2188,0,71,71,71,355.500,796.500
2189,0,58,58,58,353.500,788.500
2190,0,62,62,62,353.500,780.000
2191,0,55,55,55,357.000,811.000
2192,0,86,86,86,363.500,832.000
2193,0,47,47,47,286.000,743.000
2194,0,39,39,39,295.000,736.000
2195,0,34,34,34,325.000,768.000
2196,0,40,40,40,463.500,868.000
2197,0,50,50,50,490.500,732.000
2198,0,23,23,23,446.000,679.000
2199,0,76,76,76,548.333,964.667
2200,0,65,65,65,537.000,968.000
2201,0,47,47,47,523.000,948.000
2202,0,83,83,83,511.000,948.667
2203,0,106,106,106,505.000,937.333
2204,0,62,62,62,494.333,930.000
2205,0,98,98,98,473.000,906.667
2206,0,42,42,42,467.000,892.667
2207,0,70,70,70,463.667,904.000
2208,0,46,46,46,469.000,920.000
2209,0,74,74,74,451.667,920.667
2210,0,51,51,51,451.667,907.333
